SynsetTerms,PosScore,NegScore
able,0.13,0.00
unable,0.00,0.75
dorsal,0.00,0.00
ventral,0.00,0.00
acroscopic,0.00,0.00
basiscopic,0.00,0.00
abducting,0.00,0.00
adductive,0.00,0.00
nascent,0.00,0.00
emerging,0.00,0.00
dissilient,0.25,0.00
parturient,0.25,0.00
dying,0.00,0.00
moribund,0.00,0.00
last,0.00,0.00
abridged,0.00,0.00
shortened,0.00,0.00
half-length,0.00,0.00
potted,0.00,0.00
unabridged,0.00,0.00
uncut,0.50,0.00
absolute,0.50,0.00
direct,0.75,0.00
unquestioning,0.50,0.50
infinite,0.13,0.00
living,0.50,0.13
relative,0.25,0.50
relational,0.00,0.00
absorptive,0.00,0.00
sorbefacient,0.38,0.00
assimilatory,0.00,0.75
hygroscopic,0.00,0.00
receptive,0.00,0.13
shock-absorbent,0.00,0.00
spongy,0.00,0.00
thirsty,0.00,0.00
nonabsorptive,0.00,0.50
resistant,0.00,0.50
surface-assimilative,0.00,0.00
chemosorptive,0.00,0.25
nonadsorptive,0.00,0.25
absorbable,0.50,0.00
adsorbate,0.25,0.00
abstemious,0.00,0.00
abstinent,0.00,0.63
spartan,0.50,0.25
gluttonous,0.00,0.00
crapulous,0.00,0.00
crapulous,0.00,0.50
wolfish,0.00,0.00
greedy,0.00,0.00
swinish,0.00,0.13
too-greedy,0.13,0.38
abstract,0.00,0.00
notional,0.38,0.00
conceptual,0.38,0.25
ideal,0.00,0.00
ideological,0.13,0.13
concrete,0.63,0.25
objective,0.00,0.00
tangible,0.00,0.00
abundant,0.00,0.25
galore,0.00,0.25
rich,0.13,0.00
voluminous,0.00,0.00
easy,0.25,0.63
riotous,0.00,0.25
thick,0.00,0.50
long,0.13,0.38
rife,0.13,0.50
plentiful,0.00,0.25
rampant,0.00,0.00
rank,0.00,0.25
superabundant,0.13,0.50
teeming,0.00,0.00
torrential,0.00,0.38
verdant,0.13,0.50
scarce,0.00,0.25
rare,0.00,0.88
tight,0.00,0.63
mistreated,0.00,0.63
battered,0.00,0.75
unabused,0.38,0.25
acceptable,0.63,0.00
bankable,0.25,0.00
unimpeachable,0.25,0.63
unobjectionable,0.00,0.50
unacceptable,0.13,0.38
objectionable,0.00,0.38
accessible,0.63,0.00
reachable,0.38,0.00
getatable,0.63,0.00
ready_to_hand,0.13,0.13
